An	Durata	Titlu	Categorie	Premii
1972	15	My Country Right or Wrong	War	Nu
1942	18	Battle of Midway, The	War	Nu
1970	26	Bloopers from Star Trek	Comedy	Nu
1956	27	Case of the Mukkinese Battle Horn, The	Comedy	Nu
1991	28	Kids & Pesticides	Drama	Nu
1993	30	Alfred Hitchcock Presents, Sorcerer's Apprentice	Mystery	Nu
1954	30	Bank on the Stars	Drama	Nu
1989	30	Matt Talbot	Drama	Nu
1954	40	Inauguration of the Pleasure Dome	Short	Nu
1991	40	National Enquirer, The Untold Story	Music	Nu
1990	45	This Is Horror	Horror	Nu
1986	49	Jay Leno: The American Dream	Comedy	Nu
1983	50	Father Murphy, A Horse from Heaven	Comedy	Nu
1987	50	Madonna Live, The Virgin Tour	Music	Nu
1990	50	Industrial Symphony, The Dream of the Broken-Hearted	Music	Nu
1964	51	Outer Limits, The	Science Fiction	Nu
1992	52	Persuaders, The Overture, The	Mystery	Nu
1986	52	Howie Mandel's North American Watusi Tour	Comedy	Nu
1991	52	Lawless Frontier, The	Western	Nu
1991	52	Riders of Destiny	Western	Nu
1993	53	Big Bands, The	Music	Nu
1992	53	Gotta Dance, Gotta Sing	Music	Nu
1947	53	Law of the Lash	Western	Nu
1992	53	Return of the Lash	Action	Nu
1991	53	Randy Rides Alone	Western	Nu
1935	54	Desert Trail, The	Western	Nu
1992	54	Border Feud	Action	Nu
1934	54	Hell Town	Western	Nu
1934	54	Lucky Texan	Western	Nu
1991	54	Neath the Arizona Skies	Western	Nu
1985	55	Gonzo Presents Muppet Weird Stuff	Comedy	Nu
1985	55	Rowlf's Rhapsodies with the Muppets	Comedy	Nu
1989	55	Will Rogers, Look Back in Laughter	Comedy	Nu
1938	55	Overland Stage Raiders	Western	Nu
1938	55	Pals of the Saddle	Western	Nu
1939	55	Frontier Horizon	Western	Nu
1990	56	Best of Candid Camera, The	Comedy	Nu
1947	56	Hawk of Powder River	Western	Nu
1941	56	Man from Montana	Western	Nu
1940	56	Riders of Pasco Basin	Western	Nu
1985	56	Fozzie's Muppet Scrapbook	Comedy	Nu
1947	56	West to Glory	Western	Nu
1992	56	Dawn Rider, The	Western	Nu
1991	56	King of the Pecos	Western	Nu
1991	56	Lawless Nineties, The	Western	Nu
1923	57	Desert Rider	Western	Nu
1941	57	Bury Me Not on the Lone Prairie	Western	Nu
1940	57	Law & Order	Western	Nu
1955	57	Jack Benny Show	Comedy	Nu
1949	58	Crashing Thru	Western	Nu
1947	58	Fighting Vigilantes, The	Western	Nu
1986	58	Monty Python's Flying Circus, Vol 3.	Comedy	Nu
1993	58	Range Feud	Western	Nu
1937	59	Swing It Sailor!	Comedy	Nu
1949	59	Law of the Golden West	Western	Nu
1948	59	Bandits of Dark Canyon	Western	Nu
1948	59	Wild Frontier, The	Western	Nu
1990	59	Erasure, Live Wild!	Music	Nu
1949	59	Shadows of the West	Western	Nu
1986	59	Monty Python's Flying Circus, Vol 2.	Comedy	Nu
1992	59	Lawless Frontier	Western	Nu
1983	60	Best of the Big Laff Off, The	Comedy	Nu
1993	60	Bill Cosby, Live at Harrah's	Comedy	Nu
1992	60	America's Music, Gospel	Music	Nu
1989	60	Minsky's Follies	Comedy	Nu
1927	60	Easy Virtue	Mystery	Nu
1991	60	Boxing Babes	Action	Nu
1992	60	A Certain Sacrifice	Music	Nu
1990	60	Immaculate Collection, The	Music	Nu
1987	60	Encounters	Drama	Nu
1991	60	America's Music, Blues	Music	Nu
1943	60	Lone Star Trail, The	Western	Nu
1991	60	Super Duper Bloopers	Comedy	Nu
1988	60	Daphnis & Chloe	Music	Nu
1955	60	Meet Millie	Drama	Nu
1949	60	Pioneer Marshal	Western	Nu
1949	60	Ranger of the Cherokee Strip	Western	Nu
1950	60	Vanishing Westerner	Western	Nu
1948	60	Bold Frontiersman, The	Western	Nu
1935	60	Mysterious Mr. Wong	Mystery	Nu
1991	60	Burning Poles, Cecil Taylor in Performance	Music	Nu
1991	60	Garrison Keillor's Home	Comedy	Nu
1937	60	Throwback, The	Western	Nu
1937	60	Mystery of the Hooded Horsemen	Western	Nu
1937	60	Tex Rides with the Boy Scouts	Western	Nu
1986	60	Monty Python's Flying Circus	Comedy	Nu
1986	60	Monty Python's Flying Circus, Vol 1.	Comedy	Nu
1992	60	Hollywood Mavericks	Comedy	Nu
1990	60	Live at Harrah's	Comedy	Nu
1959	60	Rawhide, Premiere Episode	Western	Nu
1959	60	Maverick, Duel at Sundown	Western	Nu
1986	60	Steve Martin Live!	Comedy	Nu
1974	60	Steve Martin, The Funnier Side of Eastern Canada	Comedy	Nu
1987	60	Joe Piscopo New Jersey Special	Comedy	Nu
1991	60	Joe Piscopo Video, The	Comedy	Nu
1957	60	Cheyenne, The Iron Trail	Western	Nu
1992	61	Ladies of the Chorus	Music	Nu
1937	61	Swing It, Sailor!	Comedy	Nu
1947	61	Check Your Guns	Western	Nu
1989	61	Exile in Concert	Music	Nu
1927	62	Drop Kick, The	Drama	Nu
1935	64	One Frightened Night	Horror	Nu
1943	64	Ape Man, The	Horror	Nu
1993	65	John Cleese on How to Irritate People	Comedy	Nu
1932	65	Freaks	Horror	Nu
1988	65	Face at the Window, The	Horror	Nu
1991	65	Robin Williams	Comedy	Nu
1926	66	Lodger (Story of the London Fog)	Mystery	Nu
1961	66	Tonight for Sure	Comedy	Nu
1932	66	Number Seventeen	Crime	Nu
1949	66	Outlaw Country	Western	Nu
1955	67	Killer's Kiss	Mystery	Nu
1931	68	Ambassador Bill	Comedy	Nu
1929	68	Racketeer	Drama	Nu
1945	69	Woman Who Came Back	Drama	Nu
1983	69	Eddie Murphy, Delirious	Comedy	Nu
1936	70	Doughnuts & Society	Comedy	Nu
1986	71	Paramount Comedy Theater: Well-Developed	Comedy	Nu
1972	71	Big Bust Out, The	Action	Nu
1932	71	As You Desire Me	Drama	Nu
1937	71	Ticket of Leave Man, The	Mystery	Nu
1983	72	After the Rehearsal	Drama	Nu
1933	72	Baby Face	Drama	Nu
1992	72	American Film Institute, Alfred Hitchcock	Mystery	Nu
1968	73	Firemen's Ball, The	Comedy	Nu
1987	73	J-Men Forever	Action	Nu
1957	73	Time Lock	Drama	Nu
1938	74	Dollar	Drama	Nu
1971	74	People, The	Drama	Nu
1931	74	Inspiration	Drama	Nu
1929	74	Single Standard, The	Drama	Nu
1989	74	B. A. D. Cats	Action	Nu
1935	75	Count of Old Town, The	Comedy	Nu
1941	75	Walpurgis Night	Drama	Nu
1993	75	Employee's Entrance	Drama	Nu
1988	75	Let It Rock	Drama	Nu
1953	75	Goon Show Movie, The	Comedy	Nu
1977	75	Comedy Tonight	Comedy	Nu
1988	76	Daffy Duck's Quackbusters	Action	Nu
1930	76	Romance	Drama	Nu
1991	76	Slumber Party Massacre III	Horror	Nu
1993	76	Return Engagement	Drama	Nu
1966	76	Flight to Fury	Action	Nu
1958	77	That Naughty Girl	Comedy	Nu
1936	77	Sabotage	Mystery	Nu
1984	77	Secret Policeman's Private Parts, The	Comedy	Nu
1972	78	Say Goodbye Maggie Cole	Drama	Nu
1927	78	My Best Girl	Drama	Nu
1949	78	Devil's Wanton, The	Drama	Nu
1988	78	Hot Money	Drama	Nu
1992	79	Blame It on the Bellboy	Comedy	Nu
1953	79	Wild One, The	Drama	Nu
1953	79	Appointment in Honduras	Drama	Nu
1989	80	Skull	Drama	Nu
1934	80	Judge Priest	Drama	Nu
1969	80	Rebel Rousers	Action	Nu
1991	80	Going Under	Comedy	Nu
1963	80	Winter Light	Drama	Nu
1939	80	Allegheny Uprising	Drama	Nu
1937	80	Young & Innocent	Mystery	Nu
